1774655523.525098 server started (50238): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1774655523.525152 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jan 19 22:00:10 PST 2026; root:xnu-11417.140.69.708.3~1/RELEASE_X86_64
1774655523.525172 using libevent 2.1.12-stable select
1774655523.525190 using utf8proc 2.11.3
1774655523.525203 using ncurses 6.5 20240427
1774655523.525368 input_key_build: 0x10e003 (PasteStart) is \033[200~
1774655523.525385 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1774655523.525397 input_key_build: 0x10e25b (F1) is \033OP
1774655523.525405 input_key_build: 0x10e25c (F2) is \033OQ
1774655523.525413 input_key_build: 0x10e25d (F3) is \033OR
1774655523.525421 input_key_build: 0x10e25e (F4) is \033OS
1774655523.525429 input_key_build: 0x10e25f (F5) is \033[15~
1774655523.525439 input_key_build: 0x10e260 (F6) is \033[17~
1774655523.525449 input_key_build: 0x10e261 (F7) is \033[18~
1774655523.525457 input_key_build: 0x10e262 (F8) is \033[19~
1774655523.525464 input_key_build: 0x10e263 (F9) is \033[20~
1774655523.525472 input_key_build: 0x10e264 (F10) is \033[21~
1774655523.525479 input_key_build: 0x10e265 (F11) is \033[23~
1774655523.525489 input_key_build: 0x10e266 (F12) is \033[24~
1774655523.525497 input_key_build: 0x10e267 (IC) is \033[2~
1774655523.525504 input_key_build: 0x10e268 (DC) is \033[3~
1774655523.525512 input_key_build: 0x10e269 (Home) is \033[1~
1774655523.525519 input_key_build: 0x10e26a (End) is \033[4~
1774655523.525527 input_key_build: 0x10e26b (NPage) is \033[6~
1774655523.525534 input_key_build: 0x10e26c (PPage) is \033[5~
1774655523.525542 input_key_build: 0x10e26d (BTab) is \033[Z
1774655523.525549 input_key_build: 0x10e26e (Up) is \033[A
1774655523.525558 input_key_build: 0x10e26f (Down) is \033[B
1774655523.525565 input_key_build: 0x10e270 (Left) is \033[D
1774655523.525573 input_key_build: 0x10e271 (Right) is \033[C
1774655523.525582 input_key_build: 0x10e272 (KP/) is /
1774655523.525592 input_key_build: 0x10e273 (KP*) is *
1774655523.525600 input_key_build: 0x10e274 (KP-) is -
1774655523.525609 input_key_build: 0x10e275 (KP7) is 7
1774655523.525617 input_key_build: 0x10e276 (KP8) is 8
1774655523.525624 input_key_build: 0x10e277 (KP9) is 9
1774655523.525637 input_key_build: 0x10e278 (KP+) is +
1774655523.525646 input_key_build: 0x10e279 (KP4) is 4
1774655523.525654 input_key_build: 0x10e27a (KP5) is 5
1774655523.525661 input_key_build: 0x10e27b (KP6) is 6
1774655523.525669 input_key_build: 0x10e27c (KP1) is 1
1774655523.525676 input_key_build: 0x10e27d (KP2) is 2
1774655523.525684 input_key_build: 0x10e27e (KP3) is 3
1774655523.525692 input_key_build: 0x10e27f (KPEnter) is \n
1774655523.525700 input_key_build: 0x10e280 (KP0) is 0
1774655523.525707 input_key_build: 0x10e281 (KP.) is .
1774655523.525720 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1774655523.525729 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1774655523.525737 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1774655523.525748 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1774655523.525756 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1774655523.525764 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1774655523.525772 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1774655523.525780 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1774655523.525788 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1774655523.525796 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1774655523.525803 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1774655523.525811 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1774655523.525818 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1774655523.525826 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1774655523.525833 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1774655523.525841 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1774655523.525848 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
